ID,Shape,Color,Time,Height,Favorite Activity,Age Group,Zip Code,Time$$areaSize,Height$$areaSize,Favorite Activity$$color,Age Group$$color,Zip Code$$latitude,Zip Code$$longitude,Fixed,Fixed$$color,Fixed$$strokeColor,Fixed$$areaSize,Fixed$$strokeWidth
182,star,#55D4D2,1.62,67,Gaming,Adult,45245,163.04,448.96,#e7298a,#e31a1c,39.0688,-84.2802,Fixed,#000000,#000000,125,1.5
181,triangle-up,#0707D2,1.65,70,Gaming,Adult,47403,164.2,464.58,#e7298a,#e31a1c,39.1263,-86.5769,Fixed,#000000,#000000,125,1.5
180,star,#0707D2,1.26,57,Sports,Kid,47401,149.03,396.88,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
179,,#0707D2,5.03,36,Sports,Kid,47401,295.72,287.5,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
178,triangle-up,#8E1BCE,1.85,66,Art,Adult,47401,171.98,443.75,#7570b3,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
177,cross,#9B180F,1.91,59,Cooking,Adult,99205,174.32,407.29,#7570b3,#e31a1c,47.6964,-117.4399,Fixed,#000000,#000000,125,1.5
176,cross,#9B180F,,59,Cooking,Adult,99205,100,407.29,#7570b3,#e31a1c,47.6964,-117.4399,Fixed,#000000,#000000,125,1.5
175,diamond,#0707D2,,36,Other,Kid,47401,100,287.5,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
174,triangle-up,#33820D,2.32,67,Cooking,Adult,47401,190.27,448.96,#7570b3,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
173,star,#D372D2,1.93,42,Sports,Kid,47401,175.1,318.75,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
172,star,#33820D,4.18,70,Gaming,Adult,47401,262.65,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
171,star,#33820D,4.56,70,Gaming,Adult,47401,277.43,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
170,star,#D3D406,1.65,48,Sports,Kid,47401,164.2,350,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
169,diamond,#55D4D2,1.79,55,,Teen,47401,169.65,386.46,#e6ab02,#fb9a99,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
168,cross,#33820D,1.24,54,Sports,Teen,47401,148.25,381.25,#66a61e,#fb9a99,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
167,star,#8E1BCE,1.92,72,Cooking,Adult,47401,174.71,475,#7570b3,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
166,star,#33820D,1.95,70,Gaming,Adult,47401,175.88,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
165,triangle-up,#D30706,1.13,68,Art,Adult,47720,143.97,454.17,#7570b3,#e31a1c,38.0599,-87.638,Fixed,#000000,#000000,125,1.5
164,star,#0707D2,1.8,45,Sports,Kid,47401,170.04,334.38,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
163,star,#33820D,1.68,70,Gaming,Adult,47401,165.37,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
162,cross,#D36E44,1.8,74,Cooking,Teen,47265,170.04,485.42,#7570b3,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
161,cross,#D36E44,7.7,74,Cooking,Teen,47401,399.61,485.42,#7570b3,#fb9a99,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
160,diamond,#9B180F,1.09,67,Gaming,Teen,47401,142.41,448.96,#e7298a,#fb9a99,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
159,star,#D3D406,1.84,57,Gaming,Teen,47265,171.6,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
158,triangle-up,#55D4D2,1.69,61,Gaming,Teen,47401,165.76,417.71,#e7298a,#fb9a99,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
157,star,#D3D406,0.3,57,Gaming,Teen,47265,111.67,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
156,triangle-up,#55D4D2,1.03,61,Gaming,Pre-Teen,47401,140.08,417.71,#e7298a,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
155,star,#D3D406,1.68,57,Gaming,Teen,47265,165.37,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
154,cross,#D3D406,1.66,53,Gaming,Pre-Teen,47401,164.59,376.04,#e7298a,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
153,cross,#D3D406,6.7,52,Gaming,Pre-Teen,47401,360.7,370.83,#e7298a,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
152,diamond,#9B180F,1.51,67,Gaming,Teen,47401,158.75,448.96,#e7298a,#fb9a99,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
151,cross,#8E1BCE,0.93,55,Other,Kid,47265,136.19,386.46,#66a61e,#a6cee3,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
150,star,#D3D406,0.79,57,Gaming,Teen,47265,130.74,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
149,cross,#8E1BCE,1.57,55,Other,Kid,47265,161.09,386.46,#66a61e,#a6cee3,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
148,star,#D3D406,1.78,57,Gaming,Teen,47265,169.26,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
147,diamond,#D372D2,1.73,65,Art,Adult,47404,167.32,438.54,#7570b3,#e31a1c,39.195,-86.5757,Fixed,#000000,#000000,125,1.5
146,star,#D3D406,6.58,57,Gaming,Adult,47265,356.03,396.88,#e7298a,#e31a1c,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
145,star,#D3D406,1.73,57,Gaming,,47265,167.32,396.88,#e7298a,#e31a1c,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
144,star,#D3D406,1.58,57,Gaming,Teen,47265,161.48,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
143,star,#D3D406,1.81,57,Gaming,Teen,47265,170.43,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
142,star,#D3D406,1.6,57,Gaming,Teen,47265,162.26,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
141,triangle-up,#D30706,9.56,36,Art,Kid,47401,471.98,287.5,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
140,star,#D3D406,2.12,57,Gaming,Teen,47265,182.49,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
139,diamond,#D372D2,1.14,96,Other,Kid,47265,144.36,600,#66a61e,#a6cee3,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
138,star,#8E1BCE,2.37,61,Sports,Adult,47265,192.22,417.71,#66a61e,#e31a1c,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
137,cross,#33820D,4.18,36,Cooking,Kid,47265,262.65,287.5,#7570b3,#a6cee3,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
136,star,#D30706,2.78,54,,Adult,47408,208.17,381.25,#e6ab02,#e31a1c,39.2303,-86.4692,Fixed,#000000,#000000,125,1.5
135,star,#D30706,8.54,,Sports,Adult,47408,432.3,100,#66a61e,#e31a1c,39.2303,-86.4692,Fixed,#000000,#000000,125,1.5
134,star,#33820D,3.42,,Sports,Kid,47408,233.07,100,#66a61e,#a6cee3,39.2303,-86.4692,Fixed,#000000,#000000,125,1.5
133,star,#8E1BCE,0.4,60,Cooking,Pre-Teen,47401,115.56,412.5,#7570b3,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
132,star,#0707D2,1.77,58,Cooking,Pre-Teen,47401,168.87,402.08,#7570b3,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
131,diamond,#8E1BCE,1.49,39,Cooking,Kid,47401,157.98,303.13,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
130,star,#8E1BCE,2.21,39,Cooking,Kid,47401,185.99,303.13,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
129,star,#D372D2,1.69,48,Art,Kid,47401,165.76,350,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
128,diamond,#0707D2,2.07,42,Sports,Kid,47401,180.54,318.75,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
127,diamond,#0707D2,2.4,,,,47401,193.39,100,#e6ab02,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
126,star,#33820D,2.39,70,Gaming,Adult,47401,193,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
125,diamond,#9B180F,2.12,57,Gaming,Teen,47265,182.49,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
124,star,#D3D406,2.44,57,Gaming,Teen,47265,194.94,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
123,star,#D3D406,7.21,57,Gaming,Teen,47265,380.54,396.88,#e7298a,#fb9a99,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
122,cross,#0707D2,0.8,47,Sports,Kid,47432,131.13,344.79,#66a61e,#a6cee3,38.5324,-86.6196,Fixed,#000000,#000000,125,1.5
121,diamond,#D372D2,1.57,45,Sports,Kid,47432,161.09,334.38,#66a61e,#a6cee3,38.5324,-86.6196,Fixed,#000000,#000000,125,1.5
120,square,#D30706,1.16,48,Sports,Kid,47432,145.14,350,#66a61e,#a6cee3,38.5324,-86.6196,Fixed,#000000,#000000,125,1.5
119,triangle-up,#0707D2,1.37,51,Sports,Kid,47432,153.31,365.63,#66a61e,#a6cee3,38.5324,-86.6196,Fixed,#000000,#000000,125,1.5
118,cross,#8E1BCE,0.29,41,Sports,Kid,47437,111.28,313.54,#66a61e,#a6cee3,38.7222,-86.671,Fixed,#000000,#000000,125,1.5
117,star,#55D4D2,2.3,43,,Kid,47432,189.49,323.96,#e6ab02,#a6cee3,38.5324,-86.6196,Fixed,#000000,#000000,125,1.5
116,diamond,#55D4D2,1.34,60,Art,Pre-Teen,47432,152.14,412.5,#7570b3,#1f78b4,38.5324,-86.6196,Fixed,#000000,#000000,125,1.5
115,star,#8E1BCE,1.11,91,,Teen,47432,143.19,573.96,#e6ab02,#fb9a99,38.5324,-86.6196,Fixed,#000000,#000000,125,1.5
114,triangle-up,#D30706,1.61,44,Sports,Kid,47432,162.65,329.17,#66a61e,#a6cee3,38.5324,-86.6196,Fixed,#000000,#000000,125,1.5
113,diamond,#55D4D2,3.22,44,Art,Pre-Teen,47401,225.29,329.17,#7570b3,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
112,cross,#D30706,1.5,45,Gaming,Pre-Teen,47460,158.37,334.38,#e7298a,#1f78b4,39.2891,-86.7789,Fixed,#000000,#000000,125,1.5
111,cross,#D30706,6.29,46,Gaming,Pre-Teen,47460,344.75,339.58,#e7298a,#1f78b4,39.2891,-86.7789,Fixed,#000000,#000000,125,1.5
110,triangle-up,#0707D2,4.68,60,Art,Retired,47265,282.1,412.5,#7570b3,#1f78b4,39.0018,-85.6272,Fixed,#000000,#000000,125,1.5
109,star,#33820D,2.12,70,Gaming,Adult,47401,182.49,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
108,triangle-up,#8E1BCE,8.55,55,Other,Kid,47401,432.68,386.46,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
107,star,#0707D2,1.93,53,Sports,Kid,47401,175.1,376.04,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
106,cross,#D30706,2.1,58,Cooking,,47401,181.71,402.08,#7570b3,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
105,star,#55D4D2,1.39,66,Cooking,Pre-Teen,47017,154.09,443.75,#7570b3,#1f78b4,38.949,-85.2122,Fixed,#000000,#000000,125,1.5
104,triangle-up,#D372D2,3.45,36,Gaming,Kid,47401,234.24,287.5,#e7298a,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
103,star,#D3D406,4.86,69,,Kid,47401,289.11,459.38,#e6ab02,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
102,star,#D36E44,3.47,40,Sports,Kid,47401,235.02,308.33,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
101,triangle-up,#9B180F,5.91,49,Sports,Kid,47401,329.96,355.21,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
100,diamond,#D30706,3.69,50,Sports,Kid,47401,243.58,360.42,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
99,star,#8E1BCE,0.93,60,Other,,47401,136.19,412.5,#66a61e,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
98,star,#55D4D2,1.63,59,Cooking,Pre-Teen,47401,163.42,407.29,#7570b3,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
97,,#55D4D2,1,55,Cooking,Pre-Teen,47401,138.91,386.46,#7570b3,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
96,square,#0707D2,2.13,52,Sports,Kid,47401,182.88,370.83,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
95,diamond,#D372D2,1.35,41,Art,Kid,47432,152.53,313.54,#7570b3,#a6cee3,38.5324,-86.6196,Fixed,#000000,#000000,125,1.5
94,star,#8E1BCE,0.59,47,Sports,Kid,47432,122.96,344.79,#66a61e,#a6cee3,38.5324,-86.6196,Fixed,#000000,#000000,125,1.5
93,triangle-up,#33820D,0.24,54,Other,Kid,47408,109.34,381.25,#66a61e,#a6cee3,39.2303,-86.4692,Fixed,#000000,#000000,125,1.5
92,star,#0707D2,2.18,50,Sports,Kid,47401,184.82,360.42,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
91,star,#0707D2,1.09,49,Sports,Kid,47401,142.41,355.21,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
90,square,#33820D,1.43,63,Gaming,Pre-Teen,47401,155.64,428.13,#e7298a,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
89,diamond,#D372D2,1.68,56,Art,Kid,47401,165.37,391.67,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
88,diamond,#55D4D2,0.55,53,Art,Kid,47401,121.4,376.04,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
87,star,#0707D2,,47,Gaming,Kid,47401,100,344.79,#e7298a,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
86,cross,#55D4D2,1.31,61,Gaming,Pre-Teen,47401,150.97,417.71,#e7298a,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
85,triangle-up,#D372D2,2.9,36,Gaming,Kid,47401,212.84,287.5,#e7298a,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
84,triangle-up,#33820D,1.67,52,Art,Pre-Teen,47401,164.98,370.83,#7570b3,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
83,cross,#D30706,0.82,56,Gaming,Pre-Teen,47421,131.91,391.67,#e7298a,#1f78b4,38.8729,-86.4871,Fixed,#000000,#000000,125,1.5
82,triangle-up,#33820D,1.73,55,Art,Pre-Teen,47421,167.32,386.46,#7570b3,#1f78b4,38.8729,-86.4871,Fixed,#000000,#000000,125,1.5
81,star,#0707D2,1.83,54,Cooking,Pre-Teen,47459,171.21,381.25,#7570b3,#1f78b4,39.119,-86.7378,Fixed,#000000,#000000,125,1.5
80,star,#55D4D2,0.58,51,Cooking,Kid,47401,122.57,365.63,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
79,diamond,#D3D406,4.05,40,Cooking,Kid,47401,257.59,308.33,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
78,diamond,#D39827,4.01,36,Sports,Kid,47401,256.03,287.5,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
77,cross,#33820D,4.24,36,Cooking,Kid,47401,264.98,287.5,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
76,cross,#33820D,4.43,36,Cooking,Kid,47401,272.37,287.5,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
75,triangle-up,#8E1BCE,12.85,36,Art,Kid,47401,600,287.5,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
74,,#55D4D2,1.66,49,Sports,Pre-Teen,47401,164.59,355.21,#66a61e,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
73,star,#0707D2,4.63,36,Gaming,Kid,47401,280.16,287.5,#e7298a,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
72,cross,#0707D2,1.24,72,Sports,Adult,47404,148.25,475,#66a61e,#e31a1c,39.195,-86.5757,Fixed,#000000,#000000,125,1.5
71,star,#33820D,2.11,70,Gaming,Adult,47401,182.1,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
70,star,#D372D2,2.19,50,Art,Kid,47408,185.21,360.42,#7570b3,#a6cee3,39.2303,-86.4692,Fixed,#000000,#000000,125,1.5
69,star,#33820D,2.7,70,Gaming,Adult,47401,205.06,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
68,triangle-up,#0707D2,3.39,72,Cooking,Adult,47404,231.91,475,#7570b3,#e31a1c,39.195,-86.5757,Fixed,#000000,#000000,125,1.5
67,star,#8E1BCE,8.63,36,Art,Kid,47401,435.8,287.5,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
66,star,#D372D2,0.89,36,Art,Kid,47401,134.63,287.5,#7570b3,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
65,triangle-up,#0707D2,2.16,36,Gaming,Kid,47401,184.05,287.5,#e7298a,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
64,triangle-up,#0707D2,2.19,36,Gaming,Kid,47401,185.21,287.5,#e7298a,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
63,triangle-up,#0707D2,2.5,36,Gaming,Kid,47401,197.28,287.5,#e7298a,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
62,cross,#8E1BCE,1.36,49,Sports,Kid,47401,152.92,355.21,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
61,triangle-up,#D372D2,8.81,50,Sports,Kid,47401,442.8,360.42,#66a61e,#a6cee3,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
60,diamond,#0707D2,0.88,63,Sports,Adult,47401,134.24,428.13,#66a61e,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
59,cross,#8E1BCE,1.49,49,Sports,Pre-Teen,47401,157.98,355.21,#66a61e,#1f78b4,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
58,diamond,#0707D2,0.58,63,Sports,Adult,47401,122.57,428.13,#66a61e,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
57,star,#33820D,0.96,70,Gaming,Adult,47401,137.35,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
56,star,#55D4D2,1.85,65,Cooking,Teen,47401,171.98,438.54,#7570b3,#fb9a99,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
55,star,#33820D,1.99,70,Gaming,Adult,47401,177.43,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
54,diamond,#D3D406,1.43,71,Sports,Adult,47401,155.64,469.79,#66a61e,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
53,star,#33820D,1.92,70,Gaming,Adult,47401,174.71,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
52,star,#33820D,1.94,70,Gaming,Adult,47401,175.49,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
51,star,#33820D,2.71,70,Gaming,Adult,47401,205.45,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
50,star,#33820D,2.61,70,Gaming,Adult,47401,201.56,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5
49,star,#33820D,2.88,70,Gaming,Adult,47401,212.06,464.58,#e7298a,#e31a1c,39.1401,-86.5083,Fixed,#000000,#000000,125,1.5